POPULATION_NAME,FISCAL_YEAR,LESS7_CT,LESS7_CT_ANNOT,BETWEEN_8AND30_CT,BETWEEN_8AND30_CT_ANNOT,MORE30_CT,MORE30_CT_ANNOT,NO_STEP_CT,NO_STEP_CT_ANNOT,MIN_DAYS,MAX_DAYS,MEAN_DAYS,MEDIAN_DAYS,BENE_COUNT,BENE_COUNT_ANNOT
Alameda,2015,236,,23,,19,,,1,0,329,11.65055762,0,218,
Alameda,2016,207,,,1,14,,,2,0,339,7.03652968,0,177,
Alameda,2017,289,,13,,16,,306,,0,249,5.349834983,0,257,
Alameda,2018,320,,20,,11,,336,,0,317,4.243243243,0,271,
Alameda,2019,224,,32,,17,,253,,0,342,9.5256917,0,220,
Alpine,2019,0,,,1,0,,,1,14,14,14,14,,1
Amador,2015,,1,0,,,1,,1,0,182,47.25,3.5,,1
Amador,2016,,1,,1,,1,,1,2,108,25.16666667,10,,1
Amador,2017,,1,,1,,1,,1,1,18,5,2,,1
Amador,2018,,1,,1,,1,11,,0,171,40.36363636,37,,1
Amador,2019,,1,,1,,1,12,,0,224,26.5,2,11,
Butte,2015,82,,,1,,1,,1,0,307,7.887640449,1,72,
Butte,2016,82,,,1,,1,88,,0,40,3.563218391,1,72,
Butte,2017,89,,13,,,1,,2,0,263,11.72115385,2,79,
Butte,2018,99,,,1,,1,108,,0,203,6.537037037,1,87,
Butte,2019,77,,,1,,1,79,,0,76,5.607594937,1,73,
Calaveras,2015,12,,,1,,1,0,,0,59,12.94117647,0,12,
Calaveras,2016,19,,0,,,1,,2,0,39,2.578947368,0,12,
Calaveras,2017,16,,,1,,1,17,,0,90,6.764705882,0,15,
Calaveras,2018,15,,,1,0,,,2,0,19,3.526315789,0,16,
Calaveras,2019,29,,0,,0,,27,,0,4,0.296296296,0,22,
Colusa,2015,,1,0,,0,,0,,0,0,0,0,,1
Colusa,2016,,1,0,,0,,,1,0,4,1.166666667,1,,1
Colusa,2017,,1,0,,,1,,1,1,50,11.16666667,3.5,,1
Colusa,2018,,1,0,,,1,,1,1,121,37,2,,1
Colusa,2019,,1,0,,0,,,1,0,3,1.5,1.5,,1
Contra Costa,2015,270,,15,,16,,,1,0,322,7.448979592,0,231,
Contra Costa,2016,275,,14,,20,,297,,0,335,8.871186441,0,241,
Contra Costa,2017,274,,12,,,1,,2,0,216,3.151943463,0,228,
Contra Costa,2018,368,,26,,21,,403,,0,311,5.365671642,0,307,
Contra Costa,2019,338,,36,,18,,365,,0,288,7.57260274,0,316,
Del Norte,2015,,1,,1,0,,,1,0,12,2.5,0.5,,1
Del Norte,2016,11,,0,,0,,11,,0,6,1.818181818,1,,1
Del Norte,2017,,1,,1,,1,,1,0,82,15.125,2.5,,1
Del Norte,2018,,1,,1,0,,,1,0,13,1.777777778,0,,1
Del Norte,2019,12,,,1,,1,,1,0,42,7.3,3,13,
El Dorado,2015,22,,,1,,1,,1,0,178,22.56666667,5.5,32,
El Dorado,2016,24,,,1,,1,34,,0,346,43.38235294,7,32,
El Dorado,2017,33,,15,,16,,54,,0,181,23.92,8.5,49,
El Dorado,2018,34,,,1,,1,38,,0,276,24.84210526,3,40,
El Dorado,2019,39,,,1,,1,39,,0,278,17.53846154,5,44,
Fresno,2015,375,,59,,24,,17,,0,283,6.958810069,0,307,
Fresno,2016,273,,11,,16,,285,,0,294,5.386524823,0,224,
Fresno,2017,422,,18,,22,,445,,0,306,6.743764172,0,355,
Fresno,2018,454,,26,,,1,,2,0,353,3.851528384,0,371,
Fresno,2019,372,,59,,14,,405,,0,279,5.772839506,0,344,
Glenn,2015,12,,,1,,1,0,,0,31,4.357142857,0,,1
Glenn,2016,,1,,1,,1,,1,0,97,22.4,0,,1
Glenn,2017,15,,0,,,1,,2,0,99,7.2,0,14,
Glenn,2018,15,,,1,0,,,2,0,16,1.866666667,0,14,
Glenn,2019,,1,,1,0,,,1,0,12,1.888888889,1,,1
Humboldt,2015,,1,,1,,1,0,,0,71,8.833333333,2.5,12,
Humboldt,2016,18,,,1,0,,,2,0,9,2,1,14,
Humboldt,2017,28,,,1,,1,31,,0,216,13.25806452,0,29,
Humboldt,2018,25,,,1,,1,35,,0,124,10.47058824,4.5,32,
Humboldt,2019,45,,12,,,1,,2,0,62,6.807017544,3,38,
Imperial,2015,19,,,1,,1,,1,0,175,18.95454545,1,22,
Imperial,2016,21,,,1,,1,25,,0,129,14.69565217,1,22,
Imperial,2017,33,,,1,,1,41,,0,34,3.692307692,0,30,
Imperial,2018,14,,,1,,1,16,,0,281,31.25,2,20,
Imperial,2019,20,,,1,,1,19,,0,229,13.36842105,0,21,
Inyo,2015,,1,0,,0,,,1,0,6,3,3,,1
Inyo,2016,,1,,1,,1,,1,1,14,6.833333333,6.5,,1
Inyo,2017,,1,0,,,1,,1,0,34,8,0,,1
